Rep_ID,Rep_Name,Region,Total_Actual_Sales,Total_Target,Sales_Gap,Sales_Achievement,Total_Completed_Visits,Total_Planned_Visits,Visit_Gap,Visit_Completion_Rate,Avg_Merchandising,Merchandising_Gap,Avg_Availability,Availability_Gap,Status
321900,Soraya Fulton,West,164177.13,500922.665533333,-336745.535533333,0.32774945375091,12528,13788,-1260,0.908616187989556,0.876004,-0.0239960000000001,0.91062,-0.03938,Critical
321770,Kathleen Lalonde,Midwest,43904.51,150921.753125,-107017.243125,0.290909090909091,12010,14088,-2078,0.852498580352073,0.78688,-0.11312,0.824932,-0.125068,Critical
321920,Marquetta Laycock,West,91534.77,179996.587007143,-88461.8170071429,0.50853614239012,8047,12288,-4241,0.654866536458333,0.58604,-0.31396,0.61066,-0.33934,Critical
321990,Dawna Agnew,West,410948.92,491351.969565217,-80403.0495652174,0.836363636363636,9586,12288,-2702,0.780110677083333,0.72444,-0.17556,0.753608,-0.196392,At Risk
321730,Carletta Kosinski,Midwest,23280.09,102168.804733333,-78888.7147333333,0.227859081456051,9618,12888,-3270,0.746275605214153,0.681952,-0.218048,0.72588,-0.22412,Critical
321670,Nakesha Renn,Northeast,15717.12,86727.06816,-71009.94816,0.181225081551287,7903,13188,-5285,0.599256900212314,0.515632,-0.384368,0.557656,-0.392344,Critical
321930,Hilma Busick,West,130558.53,189790.873610526,-59232.3436105263,0.687907313540912,10196,12588,-2392,0.809977756593581,0.766488,-0.133512,0.796848,-0.153152,Critical
321660,Silvana Virden,Northeast,94772.32,153308.164705882,-58535.8447058824,0.618181818181818,10794,12888,-2094,0.837523277467412,0.797132,-0.102868,0.824884,-0.125116,Critical
321880,Babette Soukup,Southeast,68265.44,125542.140625,-57276.700625,0.543765142605876,8342,13188,-4846,0.632544737640279,0.536896,-0.363104,0.575612,-0.374388,Critical
321870,Derrick Boggess,Southeast,127986.57,184637.467563158,-56650.8975631579,0.693177672382342,8155,12888,-4733,0.632759155803849,0.555204,-0.344796,0.562784,-0.387216,Critical
321830,Maren Musto,Southeast,173222.53,220091.5326,-46869.0026,0.787047679452617,8689,13788,-5099,0.630185668697418,0.561256,-0.338744,0.571856,-0.378144,Critical
321710,Sherlene Wetherington,Midwest,104177.49,137018.203514286,-32840.7135142857,0.760318609703114,7908,12288,-4380,0.6435546875,0.589692,-0.310308,0.607452,-0.342548,Critical
321780,Julie Starr,Midwest,24241.46,55048.4110277778,-30806.9510277778,0.440366207623461,10631,12288,-1657,0.865152994791667,0.796268,-0.103732,0.839784,-0.110216,Critical
321620,Retha Sears,Northeast,53699.03,81950.6863388889,-28251.6563388889,0.655260283946123,11009,13788,-2779,0.798447925732521,0.730152,-0.169848,0.76274,-0.18726,Critical
321970,Georgianna Chisholm,West,157954.71,177260.460912,-19305.750912,0.891088227951837,11055,13788,-2733,0.801784160139252,0.765968,-0.134032,0.794912,-0.155088,At Risk
321540,Cara Clarke,Northeast,55061.03,70483.0079703704,-15421.9779703704,0.781195802868495,7418,13488,-6070,0.54997034400949,0.4,-0.5,0.45,-0.5,Critical
321890,Nelle Meaux,Southeast,246219.24,261219.128663158,-14999.8886631579,0.942577372721811,11988,13488,-1500,0.888790035587189,0.857844,-0.042156,0.892224,-0.0577760000000001,Healthy
321680,Elna Condello,Northeast,180058.73,192464.906091892,-12406.1760918919,0.935540580650227,12369,13488,-1119,0.917037366548043,0.882404,-0.0175960000000001,0.93276,-0.01724,Healthy
321720,Chau Rowles,Midwest,60449.2,70720.4865,-10271.2865,0.854762219431282,12294,12588,-294,0.976644423260248,0.956556,0.0565559999999999,0.975592,0.0255920000000001,At Risk
321650,Akilah Drinkard,Northeast,83872.45,93989.7592885714,-10117.3092885714,0.892357323125929,7823,12588,-4765,0.621464887194153,0.544456,-0.355544,0.569136,-0.380864,Critical
321760,Delilah Krum,Midwest,223979.95,233909.450402703,-9929.50040270272,0.957549810896448,11902,13788,-1886,0.86321438932405,0.835272,-0.0647280000000001,0.855976,-0.094024,Healthy
321740,Charles Bidwell,Midwest,219821.47,228489.561686486,-8668.09168648647,0.962063511249673,9350,13188,-3838,0.708977858659387,0.642748,-0.257252,0.657548,-0.292452,Critical
321750,Cliff Meints,Midwest,236912.67,243989.9253,-7077.25529999999,0.970993657663127,9912,13488,-3576,0.734875444839858,0.649616,-0.250384,0.678732,-0.271268,Critical
321550,Lavera Oles,Northeast,90920.19,96601.4194444445,-5681.22944444446,0.941188965160996,7732,13788,-6056,0.560777487670438,0.455752,-0.444248,0.482704,-0.467296,Critical
321530,Renetta Carew,Northeast,78258.44,83596.35324375,-5337.91324375001,0.936146577731857,12505,13188,-683,0.948210494388838,0.90224,0.00224000000000002,0.942612,-0.00738799999999995,Healthy
321560,Elba Felder,Northeast,29775.22,34173.6930121212,-4398.47301212121,0.871290673484979,11202,14088,-2886,0.795144804088586,0.74272,-0.15728,0.767744,-0.182256,At Risk
321810,Moon Torian,Southeast,341111.93,343670.088484211,-2558.15848421055,0.992556353986192,9267,13188,-3921,0.702684258416743,0.647812,-0.252188,0.657172,-0.292828,Critical
321630,Julia Behrman,Northeast,193679.37,192371.739733333,1307.63026666665,1.00679741353111,13790,14088,-298,0.978847245883021,0.939876,0.039876,0.965184,0.0151840000000001,Healthy
321790,Cordell Rieder,Midwest,84700.04,82808.2190857143,1891.82091428569,1.02284581090106,10806,12588,-1782,0.858436606291706,0.80118,-0.09882,0.850296,-0.0997039999999999,Healthy
321860,Saran Ram,Southeast,157220.51,155267.70902069,1952.80097931036,1.01257699357856,9624,12588,-2964,0.764537654909438,0.69802,-0.20198,0.731456,-0.218544,Critical
321980,Micha Woodford,West,221862.21,219888.287164865,1973.92283513516,1.00897693488173,12613,14088,-1475,0.895300965360591,0.854584,-0.045416,0.897196,-0.052804,Healthy
321910,Brandie Riva,West,198796.33,195449.075783784,3347.25421621621,1.01712596594685,12529,14088,-1559,0.889338444065872,0.833496,-0.0665040000000001,0.866696,-0.0833039999999999,Healthy
321800,Earlie Schleusner,Southeast,370640.45,365725.316968421,4915.13303157897,1.01343941150239,12763,12888,-125,0.990301055245189,0.97,0.07,0.98,0.03,Healthy
321610,Ayesha Monica,Northeast,111051.82,105856.311021053,5195.50897894737,1.04908076739907,12312,13488,-1176,0.912811387900356,0.866496,-0.033504,0.904064,-0.0459359999999999,Healthy
321570,Shawanda Selke,Northeast,153278.4,147973.642627027,5304.75737297296,1.03584933964452,8833,12288,-3455,0.718831380208333,0.652052,-0.247948,0.693856,-0.256144,Critical
321690,Gianna Dossey,Northeast,200272.97,192241.542168421,8031.42783157894,1.04177779548056,10644,13788,-3144,0.771975630983464,0.701812,-0.198188,0.732932,-0.217068,At Risk
321500,Samuel Racine,Northeast,133867.33,119437.1729,14430.1571,1.12081797274356,10227,12288,-2061,0.832275390625,0.773604,-0.126396,0.810392,-0.139608,At Risk
321640,Tia Amato,Northeast,363628.01,347014.152583784,16613.8574162162,1.04787659895861,10580,12288,-1708,0.861002604166667,0.823324,-0.0766760000000001,0.832368,-0.117632,Healthy
321580,Sibyl Lauria,Northeast,218417.18,199912.814745946,18504.3652540541,1.09256217655466,9667,12588,-2921,0.767953606609469,0.712796,-0.187204,0.744316,-0.205684,At Risk
321700,Debroah Wardle,Northeast,188001.04,169474.412347222,18526.6276527778,1.10931814069265,10573,14088,-3515,0.75049687677456,0.681656,-0.218344,0.71616,-0.23384,Critical
321510,Eugena Esser,Northeast,116383.07,97530.5715388889,18852.4984611111,1.1932983490576,7406,12588,-5182,0.588338099777566,0.510936,-0.389064,0.535344,-0.414656,Critical
321600,Ernestine Pickron,Northeast,183047.14,160479.284156757,22567.8558432433,1.14062784465812,12436,13188,-752,0.942978465271459,0.908256,0.00825599999999993,0.939648,-0.010352,Healthy
321850,Calvin Ollison,Southeast,196348.27,169813.904562162,26534.3654378378,1.15625555225441,11866,12288,-422,0.965657552083333,0.951312,0.0513119999999999,0.97334,0.02334,Healthy
321520,Michel Averette,Northeast,209084.08,177414.274735135,31669.8052648648,1.17850765003067,11861,12888,-1027,0.920313469894476,0.876112,-0.023888,0.89872,-0.05128,Healthy
321820,Dorotha Seawell,Southeast,249802.23,214607.071545946,35195.1584540541,1.16399813016655,9426,13488,-4062,0.698843416370107,0.61208,-0.28792,0.64282,-0.30718,Critical
321590,Necole Victory,Northeast,215628.84,176020.986616216,39607.8533837838,1.22501778989651,8239,12888,-4649,0.639276846679081,0.553892,-0.346108,0.571072,-0.378928,Critical
321840,Vernita Plump,Southeast,399664.35,350460.893924324,49203.4560756757,1.14039642347742,12398,14088,-1690,0.880039750141965,0.847148,-0.052852,0.89322,-0.0567799999999999,Healthy
321940,Arica Stoltzfus,West,232133.62,177516.781742105,54616.8382578947,1.30767140842628,10299,12888,-2589,0.799115456238361,0.7493,-0.1507,0.771588,-0.178412,At Risk
321960,Maryanna Fiorentino,West,323739.6,263916.380410526,59823.2195894737,1.22667490171098,12552,13488,-936,0.930604982206406,0.901332,0.001332,0.926524,-0.0234759999999999,Healthy
321950,Elwood Shutt,West,322766.89,257399.876581081,65367.0134189189,1.25395122284889,11082,13188,-2106,0.840309372156506,0.752936,-0.147064,0.784564,-0.165436,At Risk
