Rep_ID,Rep_Name,Region,Total_Sales,Total_Orders
321800,Earlie Schleusner,Southeast,506470.92,202
321810,Moon Torian,Southeast,474372.08,167
321840,Vernita Plump,Southeast,472044.16,184
321640,Tia Amato,Northeast,466213.64,155
321990,Dawna Agnew,West,410948.92,73
321960,Maryanna Fiorentino,West,363890.51,90
321890,Nelle Meaux,Southeast,359779.88,151
321950,Elwood Shutt,West,346698.05,108
321760,Delilah Krum,Midwest,315747.89,126
321740,Charles Bidwell,Midwest,306753.04,129
321750,Cliff Meints,Midwest,301222.13,92
321830,Maren Musto,Southeast,297420.99,139
321980,Micha Woodford,West,296821.11,101
321820,Dorotha Seawell,Southeast,287489.56,134
321580,Sibyl Lauria,Northeast,269561.74,116
321690,Gianna Dossey,Northeast,266223.71,111
321910,Brandie Riva,West,263542.85,96
321680,Elna Condello,Northeast,259329.99,111
321940,Arica Stoltzfus,West,246370.99,72
321520,Michel Averette,Northeast,238183.17,111
321590,Necole Victory,Northeast,236570.16,89
321850,Calvin Ollison,Southeast,227979.48,121
321700,Debroah Wardle,Northeast,221615.65,69
321600,Ernestine Pickron,Northeast,214979.49,56
321630,Julia Behrman,Northeast,209403.2,76
321570,Shawanda Selke,Northeast,199381.82,63
321900,Soraya Fulton,West,164177.13,35
321860,Saran Ram,Southeast,163499.04,67
321970,Georgianna Chisholm,West,160911.82,80
321500,Samuel Racine,Northeast,157039.38,83
321610,Ayesha Monica,Northeast,146915.26,54
321930,Hilma Busick,West,130558.53,70
321870,Derrick Boggess,Southeast,127986.57,62
321510,Eugena Esser,Northeast,127815.82,69
321650,Akilah Drinkard,Northeast,120016.11,43
321790,Cordell Rieder,Midwest,105545.8,57
321710,Sherlene Wetherington,Midwest,104177.49,40
321530,Renetta Carew,Northeast,97134.47,52
321550,Lavera Oles,Northeast,94845.03,42
321660,Silvana Virden,Northeast,94772.32,38
321920,Marquetta Laycock,West,91534.77,36
321730,Carletta Kosinski,Midwest,78105.02,36
321880,Babette Soukup,Southeast,73042.7,38
321720,Chau Rowles,Midwest,72321.9,43
321540,Cara Clarke,Northeast,69428.72,35
321620,Retha Sears,Northeast,53699.03,38
321770,Kathleen Lalonde,Midwest,43904.51,21
321560,Elba Felder,Northeast,40874.66,39
321780,Julie Starr,Midwest,35914.15,22
321670,Nakesha Renn,Northeast,15717.12,8
